name,address,lat,lng
안산양지초등학교,경기도 안산시 단원구 고잔동 781-1,37.304744,126.8347977
시곡초등학교,경기도 안산시 상록구 사2동 1344-2,37.2888533,126.8524523
본오초등학교,경기도 안산시 상록구 본오동 821,37.2945332,126.8686756
본원초등학교,경기도 안산시 상록구 본오동 902,37.2911685,126.8619834
각골초등학교,경기도 안산시 상록구 본오동 728-6,37.292617,126.8733488
팔곡초등학교,경기도 안산시 상록구 팔곡이동 385,37.297364,126.8828454
반월초등학교,경기도 안산시 상록구 건건동 629,37.3053721,126.9013972
안산창촌초등학교,경기도 안산시 상록구 건건동 619,37.3076922,126.9045574
안산초등학교,경기도 안산시 상록구 수암동 177,37.3647522,126.8780946
상록초등학교,경기도 안산시 상록구 본오3동 872-1,37.2988338,126.8659152
이호초등학교,경기도 안산시 상록구 본오1동 958,37.2867093,126.8605965
정재초등학교,경기도 안산시 상록구 부곡동 225-5,37.3381245,126.86441
안산부곡초등학교,경기도 안산시 상록구 부곡동 680,37.3290221,126.8601242
시랑초등학교,경기도 안산시 상록구 부곡동 719-3,37.3361983,126.8558662
석호초등학교,경기도 안산시 상록구 사동 1193,37.3008045,126.8482209
초당초등학교,경기도 안산시 상록구 사동 1389,37.2853572,126.8511097
경일초등학교,경기도 안산시 상록구 성포동 591-1,37.323922,126.8476819
성포초등학교,경기도 안산시 상록구 성포동 592-1,37.3240429,126.8425364
경수초등학교,경기도 안산시 상록구 성포동 594-3,37.3269927,126.8506091
삼일초등학교,경기도 안산시 상록구 월피동 448-1,37.3323379,126.8506431
안산광덕초등학교,경기도 안산시 상록구 월피동 523,37.3328862,126.8438782
학현초등학교,경기도 안산시 상록구 이동 665-1,37.3108044,126.8470585
대전가장초등학교,대전광역시 서구 가장동 25-1,36.3305372,127.3878807
신곡초등학교,경기도 김포시 고촌읍 신곡리 1267,37.5965423,126.7660891
증포초등학교,경기도 이천시 증포동 477,37.2942755,127.4569669
마송중앙초등학교,경기도 김포시 통진읍 마송리 499,37.6894042,126.5939745
마송초등학교,경기도 김포시 통진읍 마송리 1-2,37.6844267,126.6065505
서암초등학교,경기도 김포시 통진읍 서암리 412,37.6998586,126.6048445
통진초등학교,경기도 김포시 통진읍 서암리 1108,37.6937255,126.5944372
금란초등학교,경기도 김포시 고촌읍 풍곡리 466-2,37.6075672,126.7511726
학운초등학교,경기도 김포시 양촌읍 학운리 2825,37.6209923,126.6246349
양곡초등학교,경기도 김포시 양촌읍 양곡리 432-10,37.6554203,126.6223801
신양초등학교,경기도 김포시 양촌읍 양곡리 1257,37.6558897,126.6340895
수남초등학교,경기도 김포시 대곶면 대벽리 47,37.6286405,126.5886391
김포대명초등학교,경기도 김포시 대곶면 대명리 366-1,37.6482705,126.5534235
대곶초등학교,경기도 김포시 대곶면 율생리 444,37.6520092,126.584605
석정초등학교,경기도 김포시 대곶면 석정리 381,37.6735637,126.5543499
옹정초등학교,경기도 김포시 통진읍 옹정리 167-45,37.6939437,126.5639212
개곡초등학교,경기도 김포시 월곶면 개곡리 267-2,37.7321415,126.5934648
월곶초등학교,경기도 김포시 월곶면 군하리 218,37.7171647,126.5515984
하성초등학교,경기도 김포시 하성면 마곡리 617-1,37.7201072,126.6328442
금성초등학교,경기도 김포시 하성면 마조리 434,37.7444048,126.6326701
설봉초등학교,경기도 이천시 창전동 501,37.2845242,127.4527739
이천송정초등학교,경기도 이천시 송정동 375-23,37.294211,127.4332251
안흥초등학교,경기도 이천시 안흥동 344-1,37.2802439,127.4566953
한내초등학교,경기도 이천시 증포동 70-5,37.2900422,127.4616542
이천단월초등학교,경기도 이천시 단월동 182-3,37.2273955,127.4512476
이천남초등학교,경기도 이천시 중리동 455,37.2765272,127.444115
창현초등학교,경기도 남양주시 화도읍 창현리 766,37.6455702,127.3021146
진접초등학교,경기도 남양주시 진접읍 금곡리 1109,37.717068,127.1998041
주곡초등학교,경기도 남양주시 진접읍 금곡리 1004,37.7246868,127.2059047
